     , kalshi_id                           , practice_participation, injury_start_date, birth_date, gsis_id   , yahoo_id, fantasy_data_id, search_full_name           , espn_id  , height  , depth_chart_order, rotowire_id, swish_id , pandascore_id, active, high_school                                      , weight, birth_city, stats_id , sportradar_id                       , injury_body_part   , search_last_name  , opta_id, birth_country, full_name                    , status                      , team_abbr, sport, search_rank, age , team_changed_at, player_id, injury_notes, years_exp, oddsjam_id      , search_first_name, injury_status, fantasy_positions    , college                       , first_name    , metadata                                                                                                                                                    , number, practice_description          , rotoworld_id, hashtag                              , last_name          , depth_chart_position, competitions, position, birth_state, team, news_updated
6462 ,                                     ,                       ,                  , 1995-02-12, 00-0035057,  32262.0,         21427.0, ellisrichardson            , 3926590.0, 75      ,                  ,     14134.0,          ,              , True  , Douglas County                                   ,    245,           ,  887183.0, efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0,                    , richardson        ,        ,              , Ellis Richardson             , Active                      ,          , nfl  ,   9999999.0, 26.0,                , 6462     ,             ,       3.0,                 , ellis            ,              , ['TE']               , Georgia Southern              , Ellis         , {'channel_id': '1116853254748110848'}                                                                                                                       ,   45.0,                               ,             , #ellisrichardson-NFL-FA-45           , Richardson         ,                     , []          , TE      ,            ,     ,              
11255,                                     ,                       ,                  ,           ,           ,         ,                , nickamoah                  ,          , 74      ,                  ,            , 1052592.0,              , True  , Davis (CA)                                       ,    306,           ,          , 55510c00-ead2-11ed-999e-03b49558b5db,                    , amoah             ,        ,              , Nick Amoah                   , Active                      ,          , nfl  ,   9999999.0,     ,                , 11255    ,             ,       0.0,                 , nick             ,              , ['OL']               , UC Davis                      , Nick          , "{'channel_id': '1116852669114220544', 'rookie_year': ''}"                                                                                                  ,    0.0,                               ,             , #nickamoah-NFL-FA-0                  , Amoah              ,                     , []          , OL      ,            ,     ,              
8842 ,                                     ,                       ,                  ,           ,           ,         ,                , malkelmmorrison            ,          , 70      ,                  ,     16558.0, 1131137.0,              , True  , Iona Prep (NY)                                   ,    186,           ,          , 3c804b10-d3a8-11ec-96a0-c3471a31202c,                    , morrison          ,        ,              , Malkelm Morrison             , Injured Reserve             ,          , nfl  ,   9999999.0,     ,                , 8842     ,             ,       1.0,                 , malkelm          ,              , ['DB']               , Army                          , Malkelm       , "{'channel_id': '1116853537213513728', 'years_exp_shift': '1'}"                                                                                             ,    0.0,                               ,             , #malkelmmorrison-NFL-FA-0            , Morrison           ,                     , []          , CB      ,            ,     , 1653351613345.0
7926 ,                                     ,                       ,                  , 1997-02-06,           ,         ,                , carltucker                 ,          , 74      ,                  ,     15412.0,  866047.0,              , True  , Hough (NC)                                       ,    250,           ,          , fde9c52b-0e2f-46e7-9b0e-9ada612ecec3,                    , tucker            ,        ,              , Carl Tucker                  , Active                      ,          , nfl  ,       426.0, 24.0,                , 7926     ,             ,       1.0,                 , carl             ,              , ['TE']               , Alabama                       , Carl          , {'channel_id': '1116853436709601280'}                                                                                                                       ,    0.0,                               ,             , #carltucker-NFL-FA-0                 , Tucker             ,                     , []          , TE      ,            ,     , 1631568053348.0
1875 ,                                     ,                       ,                  , 1992-06-19, 00-0031296,  27545.0,         16093.0, cjmosley                   ,   16720.0, 74      ,                  ,      9380.0,  557173.0,              , True  , Theodore (AL)                                    ,    231,           ,          , bf5f7564-349a-439a-a8a9-4ddb10448a8d, Neck               , mosley            ,        ,              , C.J. Mosley                  , Active                      ,          , nfl  ,       216.0, 32.0,                , 1875     ,             ,      11.0, 97CDFFA7FA4D    , cj               , Questionable , ['LB']               , Alabama                       , C.J.          , "{'channel_id': '1113708745461886977', 'rookie_year': '2014'}"                                                                                              ,   57.0,                               ,       9631.0, #cjmosley-NFL-FA-57                  , Mosley             ,                     , []          , LB      ,            ,     , 1750349738286.0
8478 , 145c0fc1-a15b-4eee-886b-11170df2500b,                       ,                  , 1999-07-07,           ,         ,                , samuelwomack               ,          , 70      ,               2.0,     16274.0, 1085180.0,              , True  , East English Village Prep (MI)                   ,    189,           ,          , 75c1ed8d-4f05-43c1-b398-f212984b6b8b, Coach's Decision   , womack            ,        ,              , Samuel Womack                , Active                      ,          , nfl  ,       631.0, 26.0,                , 8478     ,             ,       3.0, 0823DA35726D    , samuel           , Out          , ['DB']               , Toledo                        , Samuel        , "{'channel_id': '1113708876978483201', 'rookie_year': '2022'}"                                                                                              ,   35.0,                               ,             , #samuelwomack-NFL-TEN-35             , Womack             , NB                  , []          , CB      ,            , TEN , 1737226242174.0
995  ,                                     ,                       ,                  , 1987-08-17, 00-0028445,  25090.0,         13476.0, ronparker                  ,   14297.0, 72      ,                  ,      7817.0,          ,              , False , Beaufort (SC)                                    ,    206,           ,  512802.0, e9a0297a-0b34-4c55-af1f-ca113d672195,                    , parker            ,        ,              , Ron Parker                   , Injured Reserve             ,          , nfl  ,   9999999.0, 34.0,                , 995      ,             ,      11.0,                 , ron              ,              , ['DB']               , Newberry                      , Ron           ,                                                                                                                                                             ,    0.0,                               ,       6811.0, #ronparker-NFL-FA-0                  , Parker             ,                     , []          , FS      ,            ,     , 1578330037366.0
1408 ,                                     ,                       ,                  , 1992-02-18, 00-0030496,  26671.0,         14967.0, leveonbell                 ,   15825.0, 73      ,                  ,      8617.0,  543654.0,              , True  , Groveport Madison (OH)                           ,    225,           ,  543654.0, 7735c02a-ee75-447c-86e6-6c2168500050,                    , bell              ,        ,              , Le'Veon Bell                 , Active                      ,          , nfl  ,       235.0, 29.0,                , 1408     ,             ,       9.0,                 , leveon           ,              , ['RB']               , Michigan State                , Le'Veon       , {'channel_id': '1116852736248250368'}                                                                                                                       ,    6.0,                               ,       8390.0, #leveonbell-NFL-TB-6                 , Bell               ,                     , []          , RB      ,            , TB  , 1707165960874.0
8074 ,                                     ,                       ,                  , 1997-05-02,           ,         ,                , mattseybert                ,          , 76      ,                  ,     15785.0,          ,              , True  , St. Francis (MI)                                 ,    252,           ,          , 22ec09a7-6001-43b7-adf9-cf0df941ad0e,                    , seybert           ,        ,              , Matt Seybert                 , Active                      ,          , nfl  ,            , 24.0,                , 8074     ,             ,       1.0,                 , matt             ,              , ['TE']               , Michigan State                , Matt          , {'channel_id': '1116853462399713280'}                                                                                                                       ,   41.0,                               ,             , #mattseybert-NFL-FA-41               , Seybert            ,                     , []          , TE      ,            ,     , 1629836727949.0
156  ,                                     ,                       ,                  , 1985-01-01, 00-0025557,   8424.0,          4122.0, williamgay                 ,   10613.0, "5'10""",                  ,      6211.0,          ,              , False , James R. Rickards (FL)                           ,    187,           ,  229499.0, a2907a39-139b-483f-8369-e278c26a6951,                    , gay               ,        ,              , William Gay                  , Inactive                    ,          , nfl  ,   9999999.0, 35.0,                , 156      ,             ,      13.0,                 , william          ,              , ['DB']               , Louisville                    , William       ,                                                                                                                                                             ,   25.0,                               ,       4319.0, #williamgay-NFL-FA-25                , Gay                ,                     , []          , CB      ,            ,     , 1534088707204.0
