,points,players,roster_id,custom_points,matchup_id,starters,starters_points,players_points
0,103.18,"['11564', '11577', '11624', '12501', '12504', '12517', '3678', '4981', '6786', '6804', '7090', '7594', '8130', '9224', '9753', 'NE']",1,,5,"['11564', '9224', '7594', '6786', '11624', '4981', '8130', '12501', '3678', 'NE']","[16.78, 13.1, 17.9, 18.0, 0.0, 6.7, 12.1, 3.6, 8.0, 7.0]","{'11564': 16.78, '11577': 2.6, '11624': 0.0, '12501': 3.6, '12504': -0.2, '12517': 3.2, '3678': 8.0, '4981': 6.7, '6786': 18.0, '6804': 15.92, '7090': 0.0, '7594': 17.9, '8130': 12.1, '9224': 13.1, '9753': 10.7, 'NE': 7.0}"
1,92.12,"['11533', '11575', '12481', '12530', '1479', '4217', '5947', '5967', '7049', '7523', '7569', '8112', '8132', '8151', '8183', 'DET']",2,,4,"['7523', '8151', '5967', '7569', '8112', '12530', '4217', '5947', '11533', 'DET']","[11.32, 5.4, 7.9, 5.5, 13.5, 9.3, 12.5, 17.7, 9.0, 0.0]","{'11533': 9.0, '11575': 1.1, '12481': 2.9, '12530': 9.3, '1479': 19.8, '4217': 12.5, '5947': 17.7, '5967': 7.9, '7049': 3.6, '7523': 11.32, '7569': 5.5, '8112': 13.5, '8132': 2.4, '8151': 5.4, '8183': 18.78, 'DET': 0.0}"
2,157.86,"['11584', '11638', '12484', '12489', '12490', '12495', '12509', '12514', '12518', '12526', '3451', '4950', '4984', '7564', '8408', '9508', 'DEN']",3,,4,"['4984', '11584', '12489', '7564', '12526', '12514', '12518', '11638', '3451', 'DEN']","[38.76, 14.5, 7.9, 4.6, 11.8, 23.6, 14.9, 14.8, 11.0, 16.0]","{'11584': 14.5, '11638': 14.8, '12484': 5.2, '12489': 7.9, '12490': 1.1, '12495': 1.3, '12509': 2.1, '12514': 23.6, '12518': 14.9, '12526': 11.8, '3451': 11.0, '4950': 0.0, '4984': 38.76, '7564': 4.6, '8408': 8.5, '9508': 0.0, 'DEN': 16.0}"
3,150.16,"['11589', '11628', '11786', '12457', '12469', '12529', '12541', '4881', '5012', '5045', '6783', '7588', '7611', '8126', '9221', 'LAR']",4,,3,"['4881', '9221', '12529', '11628', '5045', '6783', '5012', '7588', '11786', 'LAR']","[29.36, 15.0, 11.1, 18.1, 18.1, 11.6, 1.5, 20.4, 13.0, 12.0]","{'11589': 8.5, '11628': 18.1, '11786': 13.0, '12457': 0.0, '12469': 17.3, '12529': 11.1, '12541': 6.5, '4881': 29.36, '5012': 1.5, '5045': 18.1, '6783': 11.6, '7588': 20.4, '7611': 4.7, '8126': 11.5, '9221': 15.0, 'LAR': 12.0}"
4,144.62,"['11576', '11620', '11635', '2216', '3294', '4034', '4046', '4066', '7571', '8138', '8228', '8259', '8676', '9484', '9501', 'HOU']",5,,1,"['4046', '4034', '8138', '11635', '2216', '11620', '4066', '8228', '8259', 'HOU']","[26.02, 23.2, 21.2, 13.4, 10.1, 15.7, 5.1, 13.9, 9.0, 7.0]","{'11576': 6.9, '11620': 15.7, '11635': 13.4, '2216': 10.1, '3294': 7.82, '4034': 23.2, '4046': 26.02, '4066': 5.1, '7571': 3.0, '8138': 21.2, '8228': 13.9, '8259': 9.0, '8676': 9.3, '9484': 9.9, '9501': 8.2, 'HOU': 7.0}"
5,124.74,"['10229', '10859', '11539', '11563', '11626', '11637', '12519', '4137', '4866', '5849', '5859', '6806', '8110', '9488', 'MIN', 'PIT']",6,,6,"['11563', '4866', '4137', '5859', '9488', '11637', '10859', '6806', '11539', 'PIT']","[8.84, 18.4, 14.4, 1.8, 19.4, 25.2, 13.9, 14.8, 6.0, 2.0]","{'10229': 0.0, '10859': 13.9, '11539': 6.0, '11563': 8.84, '11626': 4.0, '11637': 25.2, '12519': 0.7000000000000001, '4137': 14.4, '4866': 18.4, '5849': 18.32, '5859': 1.8, '6806': 14.8, '8110': 7.3, '9488': 19.4, 'MIN': 6.0, 'PIT': 2.0}"
6,143.28,"['10444', '11604', '11655', '12499', '12533', '4892', '5846', '6650', '7525', '7528', '7543', '8144', '8146', '9509', '9997', 'ARI']",7,,5,"['4892', '9509', '11655', '8146', '5846', '9997', '11604', '7525', '6650', 'ARI']","[22.58, 24.4, 5.5, 22.5, 12.3, 28.1, 15.3, 4.6, 3.0, 5.0]","{'10444': 16.2, '11604': 15.3, '11655': 5.5, '12499': 3.3, '12533': 14.2, '4892': 22.58, '5846': 12.3, '6650': 3.0, '7525': 4.6, '7528': 2.0, '7543': 18.6, '8144': 12.4, '8146': 22.5, '9509': 24.4, '9997': 28.1, 'ARI': 5.0}"
7,84.42,"['11632', '12512', '2374', '4037', '4227', '5022', '6770', '6790', '6801', '6803', '7553', '8142', '8154', '8205', '9226', '9758', 'CIN']",8,,1,"['6770', '9226', '8205', '11632', '6801', '2374', '5022', '6790', '4227', 'CIN']","[8.82, 16.5, 4.8, 12.1, 6.3, 0.0, 11.4, 9.5, 8.0, 7.0]","{'11632': 12.1, '12512': 0.0, '2374': 0.0, '4037': 0.0, '4227': 8.0, '5022': 11.4, '6770': 8.82, '6790': 9.5, '6801': 6.3, '6803': 0.0, '7553': 12.9, '8142': 4.6, '8154': 4.7, '8205': 4.8, '9226': 16.5, '9758': 9.72, 'CIN': 7.0}"
8,100.82,"['10222', '11565', '12507', '12522', '12527', '12535', '2449', '3198', '4039', '4988', '5844', '5927', '7839', '8143', '8148', 'KC']",9,,6,"['11565', '3198', '12527', '5927', '8148', '4039', '5844', '12507', '7839', 'KC']","[23.22, 29.2, 12.0, 4.7, 6.6, 3.5, 4.5, 8.1, 5.0, 4.0]","{'10222': 13.5, '11565': 23.22, '12507': 8.1, '12522': 2.48, '12527': 12.0, '12535': 8.3, '2449': 11.7, '3198': 29.2, '4039': 3.5, '4988': 6.0, '5844': 4.5, '5927': 4.7, '7839': 5.0, '8143': 1.5, '8148': 6.6, 'KC': 4.0}"
9,116.58,"['1466', '3214', '3321', '4195', '4199', '4663', '4983', '6794', '6797', '6813', '6904', '7670', '8121', '8134', '9500', 'PHI']",10,,3,"['6904', '6813', '4199', '6794', '3321', '4983', '1466', '4663', '4195', 'PHI']","[24.28, 12.8, 15.7, 14.8, 8.0, 8.6, 12.7, 8.7, 7.0, 4.0]","{'1466': 12.7, '3214': 10.6, '3321': 8.0, '4195': 7.0, '4199': 15.7, '4663': 8.7, '4983': 8.6, '6794': 14.8, '6797': 27.92, '6813': 12.8, '6904': 24.28, '7670': 11.1, '8121': 8.8, '8134': 12.4, '9500': 3.2, 'PHI': 4.0}"
